No,User,Date Created,Tweet,Label,original
2930,sdikitalter,2021-11-02 02:41:41+00:00,@bekasibase Kenapa gak dari pabriknya aja uji emisi nya ngerepotin rakyat aja,N,True
856,hutahaeaners,2021-12-06 07:28:57+00:00,"Uji emisi lama banget taii, booking jam 10 kelar jam 2, mangtap!",N,True
2585,Sztidurgih,2021-11-04 03:10:07+00:00,Uji emisi apaansi,U,True
1051,dadiriadi1,2021-11-16 03:00:52+00:00,"@korantempo Semua perpanjangan Pajak STNK roda 2.3.4 harus sertakan hasil UjiEmisi, GituajakokRepot",U,True
7,Crabs_11,2022-09-25 01:09:55+00:00,"@jek___ Ga lulus uji emisi foto yg ini tads,sosorryy 🥺🙏",U,True
159,TedyMoel1,2022-07-28 09:42:42+00:00,"@detikcom Koq gak dijelaskan Perdanya nomor berapa dan acuannya UU yg mana. Dan psl berapa yg menyebutkan bhw utk kendaraan yg tak lulus uji emisi dendanya masuk ke harga parkir? Masyarakat perlu transparansi dan acuan kebijakannya jelas, tidak ngawang2. Terkesan asal jadi duit🙏🙏",N,True
3270,zkrhm,2021-09-09 03:40:13+00:00,yha~ bawa-bawa tesla &amp; nio kemaren EV gak lolos uji emisi,U,True
4543,hopanacea,2022-08-24 13:50:02+00:00,@yoongiontwt plus kaga ada debu kawasan industri dan asap kendaraan ga lolos uji emisi di Sana 🙃,P,False
4285,_dheetyas,2021-01-05 03:03:52+00:00,@Rizkyfirdh Uji Emisi Indonesia Udah Tahap Akhirat Bro,U,True
395,Temongaul,2022-06-04 05:05:42+00:00,"@emerson_yuntho ""Jangan lupa, smua harus lulus uji emisi""

-Petugas dishub-",P,True
4785,tokpitut,2021-11-04 13:32:02+00:00,"@duasisi_tvone 

Soal Uji emisi DKI
- mudahkan ijin bengkel uji swasta
- jangan tentukan merk mesin uji
- Alihkan dari sistem denda ke dismiss perpanjangan STNK.
- integrasikan datum digital Samsat decigram bengkel uji.
- Hukum mati Pungli .

gituaja  🇮🇩💝🇮🇩
.
.",P,False
3778,babel_gami,2021-03-02 16:26:31+00:00,"capeee banget rasanya hari ini tuh, bener2 secape itu, lingkungan kerja, lingkungan rumah, bahkan sampe yg biasanya jadi moodboster pun bener2 semua terus2san buat gue uji mental uji emisi, cape asli cape. gasegampang dan sepele keliatannya, semua butuh tenaga super  extra juga",P,True
2667,AdhiWib11573424,2021-11-04 01:02:09+00:00,"@FerdinandHaean3 Kebijakan ngawur"" 
Blh buat kebijakan tp hrsnya siapin dulu sebanyak-banyaknya bengkel yg bs buat uji emisi"" 
DKI tu jumlah Spdmt yg terdaftar ada lebih dr 16 jt, trs bengkel uji emisi paling banyak yaitu Jaktim 6 bengkel, di Jaksel cmn 1 bengkel"" trs gmn pd bs uji emisi??? 😪😪",U,True
1867,fahmiidr10,2021-11-05 17:17:36+00:00,"@LordCondet @aniesbaswedan @DKIJakarta Bener banget bang, lagi masa susah begini disuruh ngeluarin duit lagi buat uji emisi ~",N,True
1724,VerenaUngu,2021-11-06 04:59:07+00:00,"@dinaslhdki @BeritaJakarta kalau kendaraan plat luar JKT dan mau masuk JKT, apakah bisa lakukan uji emisi dari kota asalnya? thanks 'min",U,True
2006,RahdianiAyuS,2021-11-05 09:35:45+00:00,"Uji emisi.. 
eh misi deh antrinya... 
Enggak ada kopatkopitan emang ndan? 
Giliran begini boleh ngumpal ngumpul..
Giliran.... ah sudahlah!",N,True
652,gloriahermawan,2022-02-16 06:50:44+00:00,@michan_oripedes @katzedikke Uji kali ah emisi,U,True
4596,dystopyan,2022-06-30 18:37:49+00:00,Kalo gak lepas ya bagus sih gan. Tandanya lu lolos uji emisi siap melaju di sirkuit,P,False
3842,CalmEnrique,2021-02-26 01:31:19+00:00,@kompascom Drpd ribet uji emisi mending naikkan pajaknya semahal mungkin. Dgn syarat semua sarana transportasi sdh bagus,N,True
4721,bogiboogey,2021-11-10 04:43:39+00:00,"lagi uji emisi tp tetep ya bun standby laptop😂 seru banget kerjaan ini dah wkwk dimana2 standby laptop, modem, charger😂 berasa hi-tech banget njir",P,False
2987,manizely,2021-11-01 07:10:10+00:00,@detikcom Klo uji emisi dpt surat keterangan gak sih klo lulus uji emisi jdi klo di stop pak pol ksih surat itu aja slain stnk ama sim,U,True
1297,ibrahimmoke,2021-11-09 03:55:45+00:00,Ini uji emisi ribet bet dah 😭,N,True
1556,Farazfardan,2021-11-06 15:55:00+00:00,"@GeiszChalifah Uji emisi ya kaya vaksin, di jemput bola per kecamatan, kelurahan dll saran aja, yg gratis aja susah apalagi yg bayar, mohon di mengerti",N,True
4708,ameliagstn__,2021-11-10 10:15:07+00:00,@rdhwnsyh oh syukurlah jgn biarkan uji gue sia-sia wkwkw,P,False
1142,isarutobi,2021-11-12 11:38:38+00:00,@momo_moow Terus buat apaaaah bayar2 ikut tes uji emisi kemaren dooonggg?? Haddeeuuhh,U,True
3142,PistonB75,2021-10-24 08:23:45+00:00,"@univrsxprt @sbyfess Betull, makannya udah lolos uji emisi euro 6",U,True
4951,rafinovvv,2021-01-26 01:29:04+00:00,"aja tau jalan kecil, masih udah dipake uji emisi yang ngantrinya sampe ujung.",N,False
4723,mat_ciki,2021-11-10 02:07:32+00:00,@kiranadeira Pasti itu. Sblm ke KUD kan ke dishub dulu buat uji emisi gasolene buang 🤣🤣🤣🤣🤣,P,False
4210,Bambang_Budimab,2021-01-10 10:16:49+00:00,"@kumparan Sarananya dulu dipersiapkan, dulu BANG YOS pernah tunjuk bbrp BENGKEL lakukan uji emisi yg tersebar di bbrp tempat shg Masy dimudahkan untuk lakukan uji emisi.",P,True
481,jametjamaluddin,2022-04-23 09:07:26+00:00,"Diperhatikan, di jalanan masih banyak ya seharusnya kendaraan yang gak lolos uji emisi karbon, tapi berkeliaran menebar racun karbon monoksida.",P,True
2476,awbhinoeko,2021-11-04 06:13:40+00:00,"@KementerianLHK min, tolong kebijaksanannya untuk UJI EMISI kendaraan RODA DUA, DIPERBANYAK KUOTANYA! Jangan bikin kebijakan doang tapi untuk pelaksanaan uji nya susah!!",N,True
4724,mat_ciki,2021-11-10 02:07:32+00:00,@kiranadeira Pasti itu. ke KUD kan ke dishub dulu buat uji emisi gas buang 🤣🤣🤣🤣🤣,P,False
1418,Carangan_Oslo,2021-11-07 22:55:21+00:00,"@musniumar Sy usul di Ancol aja @musniumar, lumayan buat pemasukan Ancol. Selain UJI EMISi kan junjunganmu lagi cari pemasukan pendapatan",U,True
4697,aguset19,2021-11-12 01:28:10+00:00,"Gue gue mau uji emisi tapi gak jadi, karena peraturannya diundur, trus nyokap gue ""lagian ngapain sih, bayar ya"". jelasin kan tentang dasar pencemaran udara dll. Trus tentang bantuan sosial di lingkungan rumah sampe pemerataan pendidikan.",P,False
2064,jayaleew,2021-11-05 06:41:48+00:00,"@rahmatsn @aniesbaswedan Uji emisi bagus ,itu ide lama sekitar tahun 70 an.Kasihan rakyat dengan keadaan sekarang ini.mudah2xan pemerintah tidak ada udang di balik batu.",P,True
1057,frhxyz097,2021-11-15 14:56:08+00:00,@txtdrorangsusah Auto galolos uji emisi,N,True
4028,rtmywt,2021-01-24 03:59:41+00:00,"Min @PRFMnews , punya info tempat uji emisi buat mobil (honda) di wilayah bandung timur?",U,True
3007,adsap_id,2021-11-01 02:21:37+00:00,"@kompascom Udah mau selesai jabat, bikin susah aja. Cuan cuan cuan, bengkel uji emisi setoran lumayan nih 🤪",N,True
282,agathayantri,2022-06-28 02:25:13+00:00,uji emisi motor bayar 50rb 🙄,N,True
3888,archiv333d_,2021-02-09 04:49:30+00:00,uji emisi dmn dah,U,True
1153,diujunggelisah,2021-11-12 05:26:44+00:00,"uji emisi kyknya motor gw kaga bkl lolos, motor capek gitu",U,True
989,bigfatwkwk,2021-11-19 05:33:48+00:00,@puterankecil service sekalian uji emisi?,U,True
135,Justitiarrr,2022-08-05 02:52:15+00:00,@ohmybeautybank Kalo pergi2 motoran usahain pake jaket bair ga bau solbus bis2 yg gagal uji emisi,U,True
3293,esbatu_id,2021-08-25 05:53:26+00:00,@Sudimar_ Yakin? Sudah uji emisi? 🤣,U,True
4795,Kaka1wan,2021-11-04 02:04:23+00:00,@DKIJakarta Mohon dibantu utk pengecekan allikasi uji emisi sampaj dgn sekarang yg bisa hanya utk mobil sedangkan utk motive blm bisa padahal peraturannya drive juga kena...mohon dipermudah dan sekaligus utk bengkel drive resmi dihimbau utk bisa uji emisi drive.,P,False
1975,Mang_Yuga,2021-11-05 11:42:52+00:00,"@dusrimulya @_sintesa @DKIJakarta @aniesbaswedan Yg alibi gunain alasan rakyat kecil padahal males ngurus uji emisi juga ada sih 

🙂",N,True
1361,adi27setiawan,2021-11-08 08:35:04+00:00,"@detikcom Kasihh lahh tempat uji emisi yg banyak dan lengkap, bukan kami gk mau cuma kmi gk suka ribet, berbelit2 dan antri panjang 🔥",N,True
3086,didithumbee,2021-10-28 03:10:37+00:00,"Langsung ke Cililitan Jl. mandala 5 kantor DLH, ambil nomor antrean di pos satpam, terus masuk area uji emisi.
Alhamdulillah sepi ngga ngantre",N,True
4623,GasRumahMakan,2022-06-11 05:46:35+00:00,"@rudysarwa @FahrialZein @Sobat_Anies @Sobataniesjkt @SobatAniesJksl @Matpeci212 @luhsukmokuncoro @RikeSants @Mdy_Asmara1701 @ajengcute16__ @ekowboy2 @musniumar Emisi dari CO2 tentu sama saja (kecuali CCUS), emisi bkn cm CO2, yg namanya local pollutants (, NOx, SOx, PM2,5 dll) ini yg jauh lbh terlokalisir disekitaran pembangkit dan memudahkan proses capturing nya jauh lbh efektif-efisien dr kwjiban uji emisi berkala..",P,False
2555,Obitayu_,2021-11-04 03:52:18+00:00,"Min, saya barusan ke bengkel resmi terdekat rumah untuk cek uji emisi motor saya, gpp byar drpda antri berkrumun di dinas lh cililitan, nah motor saya merk Kymco, gak bisa dong min. Gimna solusinya min? Kemana saya uji nya? Tks @dinaslhdki",N,True
2065,Mang_Yuga,2021-11-05 06:40:51+00:00,"@dusrimulya @Reiza_Patters @aniesbaswedan Ini point pembahasannya: Ya udahlah jangan ngeluh Uji emisi, apalagi ntar ada pajak karbon, toh udah ngotorin bumi pake kendaraan pribadi lu.

Napa jadi larinya ke deterjen. 😂",U,True
3002,ihutagalung,2021-11-01 02:57:20+00:00,"Ternyata Pemprov DKI punya aplikasi E-Uji Emisi. Bisa cek apakah mobil kita udah ada hasil uji emisinya. Dan bisa cek lokasi uji emisi terdekat.
Hal-hal memudahkan begini yang membuat gue memutuskan tetap pegang KTP DKI. Gak sempurna, tapi jauh lebih baik dibandingkan Pemda lain.",P,True
1457,kemitris,2021-11-07 09:06:11+00:00,"@ArjunaIreng_12 @aniesbaswedan Itu dipliintir, bukan gak boleh masuk Jakarta,,. Tapi kendaraan di atas 3 tahun wajibb uji emisi berkkala.",U,True
4554,bukantaulanyyyy,2022-07-15 16:52:20+00:00,"@FWBESS akun ini bersih kok, coba cek aja. kemarin juga baru abis tes uji emisi",P,False
308,muliakbar,2022-06-21 23:56:38+00:00,Iya tau beberapa waktu terakhir Jakarta jadi daerah dengan kualitas udara terburuk. Tapi kalau tiba-tiba latah ngadain uji emisi gratis dipinggir jalan ya ngga serta-merta berdapampak toh.,N,True
2250,tatakujiyati,2021-11-04 22:22:55+00:00,"@AbanggSayur @aniesbaswedan @dinaslhdki Kalau menunggu siap, kita tidak akan pernah siap. Tapi ancaman Jakarta tenggelam itu nyata. Yg kena akibatnya semua orang, bukan hy yg ogah uji emisi. Kalau berat memelihara kendaraan ramah lingkungan, lbh baik pindah angkutan umum atau naik sepeda. Perjuangan mmg tidak mudah.",P,True
4872,PasukanPelor,2021-03-01 22:58:17+00:00,"@aniesbaswedan Pak @aniesbaswedan yth., mohon diadakan lagi uji emisi gratis nya dan kami dgn masif, insyaa Allah diumumkan semua senang ikutan uji emisi, terima kasih 🙏🏽",P,False
4960,nard0909,2021-01-18 05:19:40+00:00,"@Uki23 @HusinShihab @permadiaktivis1 @ @kangdede78 @GunRomli @kurawa @WagimanDeep212_ @Aryprasetyo85 @Dennysiregar7 @FerdinandHaean3 Bangke lah jajaran pemprov! Sosialisasi soal emisi kendaraan mendekati hari H penerapan baru di umbar, pdhal di teken juli'20 lalu, antrian uji emisi mbludak, biaya emisi ga ada standar. Di jalanan ga ada info soal penerapan. Arahnya cm incar duit denda 👎",N,False
4673,pratama_212K,2021-11-20 05:00:32+00:00,@dreampaperr emisi gas,P,False
4508,f1rmanh,2022-09-27 23:08:16+00:00,"@MgzSlamet Kesimpulannya ini peluang bisnis 99 saat kenaikan harga BBM. Walau LLAJR sulit merobah kebiasaan masyarakat tapi sedikit demi sedikit bisa. Produk sudah cukup di Lemigas, tabloid motor plus, uji emisi dishub/diuji dan hasilnya emsii CO turun bagus% penghematan 10-50%.",P,False
4555,bukantaulanyyyy,2022-07-15 16:52:20+00:00,"@FWBESS akun ini bersih kok, coba cek aja. kemarin juga baru abis lolos te uji emisi",P,False
4905,Bambang_Budimab,2021-01-10 10:16:49+00:00,"@kumparan Sarananya dulu dipersiapkan, dulu BANG YOS pernah tunjuk BENGKEL lakukan uji emisi yg di bbrp tempat shg Masy dimudahkan untuk lakukan uji emisi.",P,False
2127,AvidMuller,2021-11-05 04:20:58+00:00,"@baseema_heluwa Itu khan ""kalau tak lulus uji emisi"", malah bgs donk, biar pemilik kendaraan yg usia 3 thn merawat kendaraannya. Khan kmren ada tuntutan soal polusi udara, mknya diperlakukan itu mgkin. Jadi kalo mau kendaraan 3 thn aman, yg dirawat biar lolos uji emisi.",U,True
974,rizki_ariesa,2021-11-20 09:24:27+00:00,@Kota_Tangerang Kl uji emisi kendaraan gratis kapan lagi min?,P,True
235,azrul_bagendut,2022-07-10 21:53:05+00:00,"@YsLagi @detikcom polusi bukan tentang pemerintah, itu balik ke warganya, masa harus pemerintah menyediakan filter udara?... harus sebanyak apa?... sedang rakyat nya masih kemana mana pake mobil tapi sendirian. dan bahkan uji emisi bukan karena peduli tapi kepaksa takut di tindak.",P,True
4827,sikas_purnomo,2021-10-29 12:06:16+00:00,"@DKIJakarta @dinaslhdki @DishubDKI_JKT @TMCPoldaMetro Kalo mau cerdas tak ajarin, bapak bikin peraturan semua bengkel di wilayah DKI harus melakukan uji emisi dulu.. sama kasih harga eceran tertinggi.. permudah dulu rakyat melakukan uji emisi.. sama pabrik yg ngebul ditutup semua itu!",P,False
4675,pratama_212K,2021-11-20 05:00:32+00:00,@dreampaperr Uji emisi gasoline,P,False
4267,JoniTakdare,2021-01-06 04:11:25+00:00,@dinaslhdki Min...Jumat uji emisi motor/R2 di kantor LHK jam brapa ?,U,True
1179,EddyLily3,2021-11-11 05:17:33+00:00,@CNNIndonesia ... Coba aja di pikir... kendaraan di DKI katanya nech.... roda 4 ada 3.3juta..dan roda 2 ada 16 jutaan lebih... sekarang cuma ada 15 lokasi test uji emisi.. mau berapa lama ngantre... belum kendaraan dari BODETABEK...,N,True
4793,kapten_imel,2021-12-01 05:00:20+00:00,"@Denna__aja Udah, dan ga nemu juga. Keknya bogor masih santuy soal uji emisi. Dahlah nyerah, nunggu perkembangan selanjutnya aja 😅",N,False
4853,fahmiidr10,2021-11-05 17:17:36+00:00,"@LordCondet @DKIJakarta @aniesbaswedan Bener banget bang, lagi masa susah begini disuruh ngeluarin duit lagi buat uji emisi ~",N,False
2330,AbanggSayur,2021-11-04 12:22:28+00:00,@faktaanies @kebijakananies @tatakujiyati @kebijakananies_ @marlina_idha @sahabatanies_ @SuaraAnies @Reiza_Patters Tapi uji emisi bikin susah orang disaat begini...,N,True
266,dulqowi,2022-07-06 03:46:10+00:00,"@Adityatris @addiems Setuju sumber polusinya hrs di kelola &amp; dikendalikan selain pembenahan2 (maksimalkan transportasi umum, uji emisi, perbanyak RTH) &amp; Go Green Jakarta.",P,True
2605,rizki_ariesa,2021-11-04 02:38:58+00:00,"@Kota_Tangerang Tanya min, kl uji emisi kendaraan di kota Tangerang bisa dimana sj ya?",U,True
4824,masagus56557279,2021-11-01 01:45:20+00:00,@Dennysiregar7 Nggak jadi wajib PCR ya tinggal.. gampang wajib uji emisi kendaraannya,P,False
4837,andifa_k,2021-11-08 04:58:19+00:00,Ngantri uji emisi sama ganti oli dari jam set 9  baru dipanggil jam segini 🥲👍🏾,N,False
4123,loveoliv,2021-01-18 04:25:53+00:00,"di penjelasan @dinaslhdki tertulis bahwa uji emisi mulai jam 9-12.. tidak ada pemberitahuan ada pengambilan nomor antrian.. dan jam brp mulai mengambil nomor antrian.. dan di jalan antri pun sama sekali tidak ada petugas yg mengatur lalu lintas, dan dari mana mulai antrian..",N,True
2883,mokiatsu,2021-11-02 13:23:24+00:00,"@dump9x @pengelana kalau bisa diduitkan, sebenarnya bisa dipakai buat bayar uji emisi #halah",U,True
1001,Ulowbaeee,2021-11-18 07:16:54+00:00,Norak bgt uji emisi doang bikin macet ajg,N,True
3807,Dadssuu,2021-03-01 06:15:34+00:00,@tena_tts @5ecretNumber Uji emisi? 🤣🤣,U,True
2542,nurdiansahds,2021-11-04 04:16:27+00:00,Uji emisi oh uji emisi,U,True
898,ijuanxkui,2021-11-25 13:02:39+00:00,@btssgxx Uji emisi?,U,True
4545,hopanacea,2022-08-24 13:50:02+00:00,@yoongiontwt plus kaga ada debu kawasan industri dan asap Georgia kendaraan ga lolos uji emisi di sana 🙃,P,False
4831,Fkresminor7,2021-08-11 23:32:46+00:00,"@NOTASLIMBOY buatan anak2 smk di solo, nyatanya rebadged foday suv china, bbrp tahun gak muncul trus ngeles lulus uji emisi, lalu berobah wujud jd pickup yg masih juga rebadged.

Lesson: indonesia gampang di php",P,False
4853,babel_gami,2021-03-02 16:26:31+00:00,"capeee banget rasanya hari ini tuh, bener2 secape itu, lingkungan kerja, lingkungan rumah, bahkan sampe yg biasanya jadi moodboster pun bener2 semua terus2san buat gue uji mental uji emisi, cape asli cape. gasegampang dan sepele keliatannya, semua butuh tenaga super  extra juga",P,False
4863,Bambang_Budimab,2021-03-02 03:00:37+00:00,@aniesbaswedan Untuk per mudah Masy lakukan Uji emisi libatkan  Swasta Bengkel yg penuhi syarat sm spt di Era Bang Yos.,P,False
3340,eLganufa,2021-08-13 15:34:54+00:00,"zat aditif, emisi gas buang, konsumsi bahan bakar, performa, pertalite.

uji coba mamang² ojol sekeren ini. bukan hanya keren soal sabar menghadapi antrian resto dan customer cerewet 

hahaha",N,True
3972,JacksQuevara,2021-01-27 05:28:24+00:00,"@DKIJakarta @DishubDKI_JKT  Bengkel"" berbayar untuk UJI EMISI banyak yg belum siap, diantaranya mesinnya rusak dsb nya, smntara utk yg gratisan hrs antri panjang.
Gimana nih?
@aniesbaswedan @kebijakananies_",N,True
719,spargowentgone,2022-01-15 07:27:52+00:00,"Elu ga uji emisi karena nyari tempatnya susah

Gue ga uji emisi karena gue pengen Singapura cepet tenggelam

Kita ga sama",N,True
4654,momotorid,2021-11-23 09:59:34+00:00,"Jangan lupa pada uji emisi ya guys, karena motor yang berusia 3 tahun atau lebih bisa kena tilang kalo gak lolos uji emisi.",P,False
1076,HIrvansyah,2021-11-14 15:00:35+00:00,"@detikcom Kebijakan ganjil-genap dan uji emisi semakin menambah susah hidup masyarakat, mohon diperbaiki dan diintegrasikan secepatnya sistem tranportasi Jabodetabek yg layak, aman, murah dan dapat diandalkan.",N,True
4530,estebuuuu,2022-09-09 11:24:10+00:00,"@elisa_jkt Permisi mbak, ini sepertinya jalan yang protoactinium belokan Jl. Pintu Besar Utara, setelah Museum rely Indonesia.

Jalan itu memang masuk kawasan nada emanation. Lalu apa saja kendaraan yang boleh lewat? Tentunya yg sudah lulus uji emisi dan dibatasi.

Motor masih boleh kok",P,False
4662,rizki_ariesa,2021-11-20 09:24:27+00:00,@Kota_Tangerang Kl uji emisi kendaraan gratis kapan lagi min?,P,False
4713,tatakujiyati,2021-11-10 06:44:24+00:00,"@inghau Ya kalau kita sdh uji emisi kan data kita tersimpan baik di jalan aja uji emisi atau di @dinaslhdki. krn akan ilang, tenang tempat. Th depan ketika penegakan hukumnya bengkel, Bapak bs bernapa lega krn sdh uji emisi kan? Soal apps mgk lg diperbaiki Enggak penegakan hk jg ditunda.",P,False
4883,oscartotango,2021-02-06 09:51:41+00:00,"Liat hasil uji emisi aja seneng.

Gak sia2 kamu rutin kuserpis nak. Kasih makan bensin bagus juga. Gak pernah kuabuse, yg ADA kita sama2 diabuse di jalan apalagi sama motor2 pantat gede ato yg suaranya sember maunya geber 🥲",P,False
4573,dikysapuuu,2022-07-09 04:13:23+00:00,setelah bolak jakarta beberapa hari gw setuju banget sama pemerintah dki buat uji emisi sebagai kewajiban,P,False
4547,hopanacea,2022-08-24 13:50:02+00:00,@yoongiontwt plus kaga ada debu kawasan industri dan asap kendaraan ga lolos uji emisi di Sanaa 🙃,P,False
1016,Naufalanzu,2021-11-17 15:07:09+00:00,Skrg Ngisi bensin jalur motor kok skrg lebih banyak pertamax drpd pertalite.... apa karna mo uji emisi?,U,True
322,YRuhiyat3,2022-06-17 13:37:00+00:00,"@emerson_yuntho Makanya kendaraan ente &amp; temen2 semua sering2 uji emisi,benerin mesinnya klo asapnya sdh polusi..atau mendingan naik kendaraan umum, kan ada MRT atau Bus Listrik TransJ..",U,True
986,lebrekele2,2021-11-19 09:30:21+00:00,@dinaslhdki @BeritaJakarta kapan ada uji emisi lagi??,P,True
2706,Lanjaran_,2021-11-03 23:11:26+00:00,"@FerdinandHaean3 Banyak banget temen temen ojol yg ngeluh sulit orderan saat pandemi, baru aja mulai ada penumpang udah disuruh uji emisi, wajib kalo gratis mah gpp.",U,True
4821,HelmiSetiawan19,2021-11-10 00:14:15+00:00,"@KompasTV Fasilitas uji emisi berbeda sangat jauh dengan kendaraan yang ada di jkt, sedangkan kuota setiap hari hanya max 300 kendaraan🤪🤪",N,False
3173,rajab_pane,2021-10-13 13:13:45+00:00,"@geloraco Dulu sudah ada tapi ga lulus uji emisi, gila ga?",U,True
4503,gagituzur,2020-10-02 02:17:00+00:00,"Aneh uji emisi kok 3 tahun, kok gk 5 tahun aja pas pergantian plat biar gampang",P,True
2147,Naff___12,2021-11-05 03:17:43+00:00,@BirdsNeeds Kamu aja yg terburu-buru untuk Uji Emisi nya 🤪🤪,U,True
4851,Bambang_Budimab,2021-03-03 10:38:22+00:00,"@@DKIJakarta @aniesbaswedan Yg SARANANYA ada dan mudah ditemui, libatkan bengkel yg penuhi syarat u lakukan uji emisi sm spt di Era BANG YOS (khusus Mobil).",P,False
2922,bacotabdalla,2021-11-02 04:57:13+00:00,"@gaskafedi beli lagi ayo wkwk, enjoy banget pake ginian kalo mesinnya sehat. 

ngga ditilang sih harusnya kalo surat-surat lengkap. tapi mungkin yg bakal bikin ribet nanti per tgl 13 ada peraturan wajib uji emisi kendaraan",N,True
1788,kusiadelman,2021-11-06 01:39:44+00:00,"@ArjunaIreng_12 @RieGucciano @aniesbaswedan Sebelum menerapkan ke akar rumput, pastikan sarana prasarana cukup utk melakukan ini. Selain itu, atur penyumbang polusi besar lainnya, PLTU, atur jam operasi kendaraan angkut besar, salah satu kontributor kemacetan penyebab polusi. Uji emisi tiap tahun adalah bisnis tersendiri.",U,True
4204,vno_dr,2021-01-11 01:58:12+00:00,@hondaisme min..utk uji emisi bs di honda mana aja..,U,True
1190,Si_Muggle,2021-11-11 01:48:04+00:00,"Duh tmpat kerja lgi rame dan macet bgt pintu masuk, krn banyak yg lgi uji emisi mumpung gratis. Tpi pengaturan keluar masuk kendaraan gk teratur, jdi masuk kerja telat dah 2 menit 🤦🏻‍♂️",N,True
72,ppsbungus,2022-09-01 07:04:27+00:00,"Selain itu juga akan dilakukan uji emisi kendaran bermotor pegawai PPS Bungus yang akan dibawa ke Dinas Perhubungan Kota Padang.
#KKPAccelerate 
#BanggaJadiNelayan 
#EkonomiBiru 
#PPSBungus",U,True
1378,obinobin,2021-11-08 06:26:16+00:00,Lelah 🏳 bangeeeeeeeeeetttttt 🏳 ngantri 🏳 uji 🏳 emisi.,N,True
4014,rafinovvv,2021-01-26 01:29:04+00:00,"udah tau jalan kecil, masih aja dipake uji emisi yang ngantrinya sampe ujung.",N,True
1000,tamstamsu,2021-11-18 11:39:29+00:00,@bangopang_ @sulthonqiqi Pasti ga lulus uji emisi,U,True
4839,Bambang_Budimab,2021-03-08 13:23:24+00:00,@100kpjcom @VIVAcoid Sarana/tempat Uji Emisi diperbanyak dg libatkan bengkel swasta yg penuhi syarat Masy mudah lakukan uji.,P,False
478,Soto_Sawah,2022-04-23 19:15:53+00:00,"@yohanes_k_ @infobdg @ppidkotabandung @kangyanamulyana @ridwankamil Masih gua denger knalpot berisik di jalanan Bandung, kyk ginian ga bakal kelar. 😁 Belum juga masih banyaknya motor motor 2 tak dan motor lainnya yg ga bakal lolos uji emisi di jalanan Bandung.",U,True
4767,Mang_Yuga,2021-11-05 06:15:51+00:00,"@dusrimulya @Reiza_Patters @aniesbaswedan Ya udah, pake Sepeda aja.Lebih irit dibanding opsi2 bermotor lain.
Pake kendaraan yg yg cuman tinggal narik rem/gas mah ga usah banyak ngeluh,apalagi udh dikasih kemudahan,&amp; ya lebar dimana2. Skrang Uji emisi,ntar ad lagi Pajak Karbon,jalan2 anggap ongkos aja udh ngotorin bumi.",P,False
4627,GasRumahMakan,2022-06-11 05:46:35+00:00,"@rudysarwa @FahrialZein @Sobat_Anies @Sobataniesjkt @SobatAniesJksl @Matpeci212 @luhsukmokuncoro @RikeSants @Mdy_Asmara1701 @ajengcute16__ @ekowboy2 @musniumar Emisi dari CO2 tentu sama saja (kecuali pk CCUS), tapi emisi bkn cm CO2, berkala yg namanya lbh pollutants (CH4, NOx, SOx, PM2,5 dll) ini yg akan jauh local terlokalisir disekitaran pembangkit dan memudahkan proses capturing lbh jauh nya efektif-efisien dr kwjiban uji emisi ad..",P,False
2604,sugisigu,2021-11-04 02:39:16+00:00,jam 8 kurang dan antiran udah habis. mau gak mau ikut uji emisi yang berbayar ini mah,U,True
4932,bacotabdalla,2021-11-02 04:57:13+00:00,"@gaskafedi beli lagi ayo wkwk, relish banget pake ginian kalo mesinnya sehat. 

ngga ditilang sih harusnya kalo surat-surat lengkap. tapi mungkin yg bakal bikin ribet nanti per tgl xiii ADA peraturan wajib uji emisi kendaraan",N,False
951,rizkmi,2021-11-23 10:40:24+00:00,@bertanyarl Kedepannya bawa sertif uji emisi 😂,U,True
49,BagasWrs_,2022-09-09 11:22:29+00:00,"@dinoscrubber @Penjejakbumi01 @PiakRaden @aniesbaswedan Bukan di kurangi kendaraannya
Tapi yang lulus uji emisi ya blok",N,True
355,GasRumahMakan,2022-06-11 05:46:35+00:00,"@rudysarwa @FahrialZein @Sobat_Anies @Sobataniesjkt @SobatAniesJksl @Matpeci212 @luhsukmokuncoro @RikeSants @Mdy_Asmara1701 @ajengcute16__ @ekowboy2 @musniumar Emisi dari CO2 tentu sama saja (kecuali pk CCUS), tapi emisi bkn cm CO2, ad yg namanya local pollutants (CH4, NOx, SOx, PM2,5 dll) ini yg akan jauh lbh terlokalisir disekitaran pembangkit dan memudahkan proses capturing nya jauh lbh efektif-efisien dr kwjiban uji emisi berkala..",P,True
871,kapten_imel,2021-12-01 05:00:20+00:00,"@Denna__aja Udah, dan ga nemu juga. Keknya bogor masih santuy soal uji emisi. Dahlah nyerah, nunggu perkembangan selanjutnya aja 😅",N,True
4560,Fa7x__,2022-07-12 07:00:03+00:00,@kangope Alus sih kebijakan na mah meh teu ngebul pinuh ku polusi 💨💨 ayo dr sekarang rawat kendaraan nya mau tua atau muda kalo dirawat mah insyallah lolos uji emisi,P,False
