,username,tweet,waktu,sentiment,Topik
363,@icayusmara,"Permasalahan sampah di Indonesia, termasuk di Pulau Komodo dan Labuan Bajo, pada dasarnya sama yaitu soal manajemen dan support system.

#garniergreenbeauty",2020-12-22T08:35:51.000Z,negatif,Sampah
364,@amanah_ennah,Banyak bangetnih tugas udah kaya sampah di indonesia,2014-11-18T14:50:59.000Z,positif,Sampah
365,@Rian_pratama29,orang gila kelaut aja bro. Drpd nambahin sampah di indonesia bsnya cuma ngoceh jelekin orang aja,2013-12-03T02:09:39.000Z,negatif,Sampah
366,@rintonano,Kenapa tempat sampah di Indonesia itu dikit banget ya?,2022-12-29T14:20:39.000Z,negatif,Sampah
367,@TakDidjadjah,Tanggal 18 dimana rakyat memilih pemimpin harusnya selektif..makassar masuk 4 besar kota terkotor(bnyk sampah) di indonesia..,2013-09-14T08:06:45.000Z,positif,Sampah
368,@Bryanperdanaaa,"Termasuk kita cinta ""@reskyhariady: Banyak sampah di INDONESIA""",2013-11-26T04:56:44.000Z,positif,Sampah
369,@woypo,"#following #timbeta #kca #followtrick #followback #TEAMFOLLOWBACK #follow #followback #food #nature #love #twitter #tfb #RETWEET #jkt48

Jumlah sampah di Indonesia mencapai 66,5 juta ton, diperkirakan pada tahun ini dan meningkat menjadi 67,8 juta ton, bagaimana tahun 2025? …",2019-04-21T07:08:23.000Z,negatif,Sampah
370,@yurrinurnazz_,"Kolaborasi adalah kata kunci untuk menangani permasalahan sampah di Indonesia #MariBerbagiPeran
#SustainabilityDay2020
#UnileverIndonesiaFoundation",2020-11-23T08:25:14.000Z,negatif,Sampah
371,@FansBuih,"Frieska : mau meneliti tentang sampah, di Indonesia belum ada kan yg ngancurin sampah2 sampe benar2 hilang atau dimanfaatkan #LRK3Believe",2017-10-15T09:25:55.000Z,positif,Sampah
372,@ihsan_muhsan769,"Semoga program pengelolaan sampah presiden jokowi dapat terlaksana dgn cepat, agar problem sampah di Indonesia bisa di atasi",2015-02-16T05:07:29.000Z,negatif,Pengelolaan Sampah
373,@fmemjour,bobotoh viking itu sampah di indonesia anjing,2015-10-14T13:41:19.000Z,positif,Sampah
374,@ID_SEPADU,Dan ini pastinya akan sangan membantu mengurangi jumlah sampah di indonesia yang jumlahnya sangat banyak itu.,2017-01-15T15:26:19.000Z,positif,Sampah
375,@dedepikacuuu,"Jangan sampai sampah di Indonesia semakin menumpuk karena adanya galon sekali pakai di TPA dan di laut, yuk #tolakgalonsekalipakai",2021-12-16T15:42:08.000Z,positif,Sampah
376,@DIIANGGRAENII,Emang masalah pengolahan sampah di Indonesia ini masih jauh dari kata 'lumayan',2014-01-23T04:13:56.000Z,positif,Sampah
377,@azhary_ritonga,"Banyaknya sampah sampah di indonesia ini, seperti halnya koruptor yang menghewani.",2014-03-23T04:06:28.000Z,positif,Sampah
378,@EHBalikpapan,"Ada beberapa penjelasan mengenai sampah di Indonesia, simak sedikit yuk Sobat #NyampahDiTimeline #IniAksiku",2018-02-18T01:09:21.000Z,negatif,Sampah
379,@IDPanasonic,#TahukahKamu 48 persen sampah di Indonesia berasal dari rumah tangga?,2015-05-29T10:00:00.000Z,positif,Sampah
380,@kriwulghust,"Dengan judul :
Di luar negeri makanan sampah, di Indonesia makanan mewah.",2018-10-03T07:48:48.000Z,negatif,Sampah
381,@UAlazhar,"RT @biofair14UAI: Seminar dan Talkshow ini membahas tentang Fenomena Sampah di Indonesia, Green Production, dan.... #BiotechfairUAI2014",2014-04-21T02:12:09.000Z,negatif,Sampah
382,@Ev4n_7,"Orang seperti itu hanya menjadi sampah di indonesia.
#JgnLupakanYangSetya",2015-12-03T09:14:47.000Z,positif,Sampah
383,@LeylaHana,Ekosistem pengelolaan sampah di Indonesia blm terbentuk. #PRAISEDroppingBox,2018-08-08T06:48:30.000Z,negatif,Pengelolaan Sampah
384,@RibkaHutagalung,udah banyak sampah di indonesia ini !!! jadi kau jangan jadi sampah lagi *huahahaha*,2014-06-08T04:50:01.000Z,positif,Sampah
385,@IDRepubliku,Dengan bgtu akan mengurangi sampah di Indonesia& paling penting yuuk sama2 kt sayangi pepohonan yg ada disekitar kita ya IDers! #Indonesiaku,2014-04-05T04:43:01.000Z,positif,Sampah
386,@Hutagalung15,"Nonton tukang sampah inggris berkunjung dan bekerja dgn tukang sampah di indonesia @kompastv, menarik.",2014-02-10T01:21:10.000Z,positif,Sampah
387,@FuziSeptian,"klo boleh jujur, televisi paling sampah di indonesia itu salah satu.a @SCTV_
@IndosiarID klo @netmediatama terbaik! #RIPBroadcasterRio2x",2016-08-09T09:17:20.000Z,positif,Sampah
388,@penikmatsenerek,"Kompastv ini acaranya keren, bahkan tukang sampah di Inggris pun terkaget-kaget liat kerjaan tukang sampah di Indonesia. Napuk banget ini.",2014-07-29T01:19:07.000Z,negatif,Sampah
389,@felicialisardi,Yuk follow @GreenSmileID skrg juga! Trus twit apapun tentang sampah di Indonesia dgn hastag #SAMPAHNYOLOT ! *Spread The News*,2013-09-02T02:00:31.000Z,positif,Sampah
390,@waste4change,Seberapa besar keyakinan @Lenny_Agustin dg #UpcycleProject bisa jadi salah satu cara kreatif u/ pengolaan sampah di Indonesia? :D,2014-11-04T14:02:15.000Z,positif,Sampah
391,@3Rbinus,"Apa tujuan kita membuat aplikasi ini?

Aplikasi ini dibuat karena pada saat ini jumlah sampah di Indonesia sudah sangat menumpuk banyak. Namun, penanggulangan dari sampah ini masih belum efektif.",2020-05-11T01:41:38.000Z,negatif,Sampah
392,@segarabudaya,"Nggak hanya itu, timbunan sampah di Indonesia telah mencapai 175.000 ton per hari atau setara 64 juta ton per tahun. Wow! #ksatriasegara
@IYMDS",2018-01-18T02:20:00.000Z,negatif,Sampah
393,@InfoSuperIndo,"Tahukah SIS, kalau produksi sampah di Indonesia itu nomor 2 terbesar di dunia dengan 5,4 juta ton pertahun? #HariBumi",2014-04-21T04:00:03.000Z,negatif,Sampah
394,@arirahmad__,"Inovasi baru token yg ada underlying nya, sekaligus membantu pengolahan sampah di Indonesia
#plasticfinance
#Plas4future
#zerowaste",2022-01-17T05:56:48.000Z,negatif,Sampah
395,@tifyl,Ada gak sih yg bisa bikin PLTS (Pembangkit Listrik Tenaga Sampah) di Indonesia? Mau sujud2 dah gua kalo ada,2019-04-15T15:29:59.000Z,negatif,Sampah
396,@RadioIdolaSMG,"#Sosok: Koderi-Dari sampah menjadi Berkah asal #Talangagung #Kepanjen Kabupaten #Malang,""kami bekerja di sampah sejak tahun 1995, melihat fenomena sampah di Indonesia memprihatinkan, melihat sampah masih dilihat sampah, sampah-dibuang, bukan sbg sumber daya",2018-01-03T23:46:57.000Z,positif,Sampah
397,@DaftarUAI,"RT @biofair14UAI: Seminar dan Talkshow ini membahas tentang Fenomena Sampah di Indonesia, Green Production, dan.... #BiotechfairUAI2014",2014-04-21T02:12:09.000Z,negatif,Sampah
398,@BJZ_8,sampah di indonesia masih banyak banget...knpa indonesia gak bisa kayak singapura?yang kotanya bersih bgt #SAMPAHNYOLOT,2013-09-03T13:13:36.000Z,positif,Sampah
399,@MaulanaSitorus,"Masih banyak sampah di indonesia ini
saya mengandalkan JOKOWORK membersihkannya...",2014-01-10T08:29:35.000Z,positif,Sampah
400,@ardinal_ikhwan,"Bisa dipungkiri kalau konten prank buat sebagian yutuber sampah di Indonesia emang gak layak publish, benar-benar amoral.",2020-05-04T11:55:43.000Z,positif,Sampah
401,@azkagoldi,"Kenapa embracing keburukan stereotype sampah di Indonesia dan ga berusaha menghilangkan, malah ngajarin rakyat kelas tempe makin jadi gembus.",2021-08-19T14:24:38.000Z,negatif,Sampah
402,@SabrunJ,"Bila total sampaH di indonesia Selama 10 tahun, 
dan sampah itu bisa di daur ulang menJadi besi, 
maka indonesia bisa membangun Giant Bridge Dari Sabang Sampai Merauke, :v LOL",2019-10-26T06:26:36.000Z,positif,Sampah
403,@Ilham_hafidz_f,Masih banyak manusia berfikiran sampah di Indonesia~,2019-05-22T10:18:12.000Z,positif,Sampah
404,@ihsan_muhsan769,"Semoga program pengelolaan sampah presiden jokowi dapat terlaksana dgn cepat, agar problem sampah di Indonesia bisa di atasi",2015-02-16T05:07:29.000Z,negatif,Pengelolaan Sampah
405,@promkes_net,"#PeduliSampah
Sampah di Indonesia paling dominan berasal dari sampah rumah tangga. Nah,qt salah satu pnyumbangnya lho sob (Kementerian LH)",2014-02-22T12:10:10.000Z,positif,Sampah
406,@Mawaans,"Lalat sampah di indonesia , Menjijikan sekali. @farhatabbaslaw ""@akun_KEPO: Banyak yang bilang bahwa Farhat Abbas itu mirip dengan ______""",2013-11-25T01:32:11.000Z,negatif,Sampah
407,@eyavln,"Sebenernya yang virus itu kita, buktinya sampah di Indonesia berkurang 600 ton perhari.",2020-04-10T04:33:53.000Z,positif,Sampah
408,@nisaahani,"Oke, next... Inovasi berikutnya adalah PLTSa Merah Putih. 

Inovasi ini dibuat untuk menjawab permasalahan sampah di Indonesia.

#HUT41BPPT
#BPPTSolidSmartSpeed
@bppt_ri",2019-08-21T05:05:04.000Z,positif,Sampah
409,@evaaleistari,"Jodoh tuh kaya sampah di indonesia, bisa nemu di mana aja. :D",2014-01-14T09:13:42.000Z,positif,Sampah
410,@Jeffbejo,"Kapan ya sistem pengolahan sampah di Indonesia bisa serapih dan sebaik Jepang atau negara maju lainnya?

Gua gemes banget liat sampah dicampur-campur",2023-01-05T15:00:02.000Z,positif,Sampah
411,@musairwn_17,"Salam Mahasura Muda! 
Yokk gaes sudah saatnya untuk mengurangi sampah di Indonesia dengan barang barang yang ramah lingkungan, sudah waktunya sadar dan peduli pada lingkungan Indonesia lebih maju. 

#UNSuntukIndonesia
#MahasuraMudaUNS2020
#zerowaste
@11MaretUniv
@zerowaste",2020-09-20T13:10:28.000Z,positif,Sampah
412,@Neonboxyellow,Masalah sampah di Indonesia itu yang belum beres dan numpuk. Sampah bisa berdampak luas. Kesehatan. Pendidikan. Budaya dan lingkungan. Mau ngasih warisan negara kotor gitu sama anak cucu?,2018-07-31T06:30:59.000Z,negatif,Sampah
413,@likesequoia_,"Salam Mahasura Muda!

Penggunaan botol plastik sebagi wadah air minum merupakan salah satubpenyebab meningkatnya prodyksi sampah di Indonesia. Apalagi plastik termasuk salah sath sampah yang sulit diuraikan oleh mikroba.",2020-09-20T14:35:53.000Z,negatif,Sampah
414,@furqon___,"Pengelolaan sampah di indonesia itu masuk 35 terburuk pengelolaan sampah di dunia loh, berdasarkan beberapa sumber",2017-05-15T13:35:23.000Z,negatif,Pengelolaan Sampah
415,@Wijaya_akhi,Dilarang Jual Sampah Di Indonesia!,2013-08-26T04:00:23.000Z,positif,Sampah
416,@AnangMr,"Joko said ""kenapa banyak film sampah di  Indonesia""",2014-09-12T16:47:08.000Z,positif,Sampah
417,@InfoSuperIndo,"Jadi, SIS tdk hanya berbelanja tp jg mengurangi sampah kantong plastik & berperan dlm edukasi pengelolahan sampah di Indonesia. #reusablebag",2014-03-20T09:30:58.000Z,negatif,Sampah
418,@anggigandhi2,"RT""@DrPengetahuan: Jumlah produksi sampah di Indonesia dalam sehari jika ditumpuk, sebanding dengan 250 piramida giza di mesir.""",2013-09-25T10:33:14.000Z,negatif,Sampah
419,@Wakil74,"sampah di INDONESIA  menjadi berita di Belanda ...
jangan salahkan pemerintah kenapa sampah di.mana mana.... tapi refleksi  dulu ke diri sendiri... contoh jangan buang sampah sembarangan.
#NOS",2019-01-15T18:26:30.000Z,positif,Kebijakan Pemerintah
420,@SendiRuri,Proses pengelolaan dan pengolahan sampah di Indonesia kebanyakan masih sangat buruk!,2017-10-07T11:27:30.000Z,negatif,Pengelolaan Sampah
421,@riskipranata,"Hari Peduli sampah di Indonesia 
Menjadi organik dan non organik",2016-02-21T02:05:17.000Z,positif,Sampah
422,@brookollyuiio,Dengan 5P bapak bambang mengembangkan bank sampah di Indonesia ! @ID_Datsun #DRC2,2015-12-08T02:59:36.000Z,positif,Sampah
423,@alma_laffia,mati semua mati orang yang gak guna dan cuma jadi sampah di indonesia besok mati!!!!!,2014-04-17T10:20:16.000Z,negatif,Sampah
424,@Dwiki_25,Sampah di Indonesia berkurang  | APLN di Batam,2016-07-25T10:51:07.000Z,negatif,Sampah
425,@HimbioUnila,"Ikuti ""Kontes Pasukan CLBK"" bareng Teman Rakyat x Journesia dan menangkan liburan gratis ke Flores bareng kita dalam rangka program untuk ningkatin kesadaran kita dan teman teman kamu akan masalah sampah di Indonesia!",2018-11-16T06:28:43.000Z,positif,Sampah
426,@shatriaputra,"Iya, antri masih jadi budaya paling sampah di indonesia. Nyelonong tetep primadona",2013-09-04T13:37:22.000Z,positif,Sampah
427,@LonaRaditya,Menurut kalian berapa volume sampah di Indonesia per hari? #IMVironment @SATU_Indonesia,2015-08-20T12:02:05.000Z,negatif,Sampah
428,@OrganBiru,"Menurut hasil studi di tahun 2008 yang dilakukan oleh KLHK, pola pengelolaan sampah di Indonesia sebagian besar diangkut dan ditimbun di TPA atau Tempat Pembuangan Akhir (69%).",2021-01-27T03:52:34.000Z,positif,Pengelolaan Sampah
429,@hernitanita,sampah di indonesia itu....memang banyak -_-,2013-12-20T05:05:43.000Z,positif,Sampah
430,@Jeonghanology,lagi cari facts buat bikin infografik tentang sampah di indonesia... malah sedih sendiri...,2019-02-17T13:33:44.000Z,negatif,Sampah
431,@paulinafebhiola,"""biasa orang kaya,bngung mo ngabisin uang @iqbaldondon: @paulinafebhiola ciyee pecinta lingkungan sangking cintanya sampah di indonesia p""",2013-10-27T21:05:25.000Z,positif,Sampah
432,@yanwarsolah,"setidaknya kata GOLPUT memberikan solusi untuk ""MENGURANGI PARTAI2 SAMPAH"" di indonesia. :)",2014-04-13T14:56:46.000Z,positif,Sampah
433,@gatot_bimo,"Aturan hukum dan budaya harus bareng, selaras. Ini soal sampah. Di indonesia, aturan buang sampah sembarangan seabrek. orang2 msh cuek aja",2014-09-22T12:28:20.000Z,positif,Sampah
434,@XkenfikarX,"Makin banyak sampah di indonesia  --> #Pembegal,  rame rame lah klo bgini jd imigran keluar ini sii",2015-02-22T12:38:23.000Z,positif,Sampah
435,@noprimasubarkah,"Selamat Hari Sumpah pemuda . Pemuda zaman dulu berani bersumpah untuk Indonesia , pemuda zaman sekarang kebanyakan jadi sampah di indonesia.",2013-10-28T03:17:22.000Z,positif,Sampah
436,@crotcritcrut,"susah banget ketemunya sekarang ,kayak mau bersihin sampah di Indonesia ,susah...",2013-08-21T08:34:08.000Z,negatif,Sampah
437,@FAISAL142627887,"#TukarpikiranYuk#TukarpikiranYuk meskipun kejadian nya di Jabar bukan di Jatim, peraturan seperti ini yang menuai pro kontra dan ambigu jangan jauh jauh membatasi lagu asing tapi batasi tontonan sampah di Indonesia  dan konten berbahaya di Indonesia..",2019-02-28T12:39:13.000Z,negatif,Sampah
438,@priyono_imam,"""@persib_anjing2: persib sampah di indonesia @candrapmngkss @ZicoRamlan Persija hina ? Emang hina ! Baru nyadar lo""",2013-09-20T19:27:37.000Z,positif,Sampah
439,@wa2ambars,mgkn bs jd solusi masalah sampah di indonesia.. lemparin aja ke matahari.. hehe.. #abaikansaja,2013-10-31T19:14:59.000Z,negatif,Sampah
440,@zebipaskal,Ada enggak sih partai politik yang benar-benar fokus mengangkat isu penyelesaian masalah sampah di Indonesia?,2019-02-08T10:30:02.000Z,positif,Sampah
441,@dika_meiarto,Sudah Optimalkah Implementasi Sistem Pengelolaan Sampah di Indonesia?: Apakah sampah itu? UU No. 18 Tahun 2008 tentang Pengelolaan Sampah...,2013-09-19T11:11:15.000Z,negatif,Sampah
442,@IMIN4Y,"Halo sobat Tala semuanya!

Permasalahan sampah adalah permasalahan serius di Indonesia yang sudah menelan korban nyawa. Kita perlu bahu membahu menjadi solusi bagi permasalahan sampah di Indonesia dimulai dari lingkungan terdekat kita yaitu di rumah.",2022-07-28T03:50:17.000Z,negatif,Sampah
443,@Evi_Fadliah,"Harapannya melalui gerakan #BijakBerplastik, AQUA berkomitmen dan mengajak kita semua lebih bijak dalam menggunakan plastik utk menanggulangi masalah sampah di Indonesia.

#AQUALife @aqua_lestari @sehatAQUA",2019-08-07T10:01:44.000Z,negatif,Sampah
444,@sintasimulia,"KFC, MCD, dan sgala tmennya berjenis ""junk"" food alias sampah di indonesia itu digemari. sala1 gaya hidup yg aneh. dududu",2014-04-13T02:25:04.000Z,negatif,Sampah
445,@sshaworld,"Masalah sampah, masalah plastik di Indonesia sudah terlalu parah. Jika GSP tdk benar2 scr maksimal di daur ulang tentunya akan menambah permasalahan sampah di Indonesia. #JanganMenggiringOpini #TolakSekaliPakai",2020-11-30T07:33:18.000Z,negatif,Sampah
446,@bee_fizzabella,Yuk follow @GreenSmileID skrg juga! Trus twit apapun tentang sampah di Indonesia dgn hastag #SAMPAHNYOLOT ! *Spread The News* Thankyou! (:,2013-09-02T03:12:43.000Z,positif,Sampah
447,@inurasfad,Rasa sayang aku ke kamu itu ibarat sampah di indonesia. Gak akan pernah habis :3,2013-09-08T15:31:51.000Z,positif,Sampah
448,@LutfiHhasbullah,Di Negara lain komunis itu ibarat sampah.. di indonesia justru di kagumi para aktivis... memang aktivis kita ini doyan dengan sampah...,2016-06-03T14:23:53.000Z,negatif,Sampah
449,@wijayaryputu,"Tipikal musik sampah di Indonesia itu adalah judul lagu yang ngikutin TREND kata yg lagi HEITZZZ.. Ex :Sakitnya Disini,Modus,Aku mah apa",2015-03-10T06:47:15.000Z,negatif,Sampah
450,@alfian80889302,Malu dong orang asing aja sampai mati ingin bersihin sampah di indonesia. Kenapa kalian masih nyampah sembarangan.!,2013-12-03T12:24:35.000Z,negatif,Sampah
451,@AstraAugusta,Haelah ga guna lu minta maaf! Pretttt lah. Sana gih buruan pergi dari sini. Biar sampah di Indonesia minimal berkurang satu.,2018-06-23T19:10:49.000Z,negatif,Sampah
452,@kompascorner,Peningkatan sampah di Indonesia ini tidak diimbangi oleh lahan yang mampu menampung sampah @BebasSampahID #HUBcomm,2015-09-24T05:25:04.000Z,negatif,Sampah
453,@kiyowooo5,"Sampah di Indonesia susah bgt untuk diatasi. Malah semakin banyak. Maka dari itu acara circural revolution membantu menyadarkan masyarakat akan kesehatan lingkungan yang selalu disebabkan oleh sampah plastik
#KurangiResiko #YangLainAja",2019-07-22T06:22:17.000Z,positif,Sampah
454,@Sam_Ardi,"""dua orang terbunuh dan delapan lainnya berhasil lolos dan bergabung dengan kelompok Al-Qaidah"" sampah di Indonesia, sampah di luar negeri",2014-01-07T06:49:18.000Z,negatif,Sampah
455,@Beart_boy,Salah satu stasiun asing menayangkan program kehidupan tukang sampah di Indonesia. Sedihnya bahkan dalam persampahan pun ada KKN.,2015-03-26T08:40:35.000Z,negatif,Sampah
456,@FuziSeptian,"gini deh ya klo boleh jujur, televisi paling sampah di indonesia itu salah satu.a
@SCTV_ @IndosiarID klo @netmediatama terbaik!",2016-08-09T09:16:00.000Z,positif,Sampah
457,@ICEL_indo,"AZWI: Report Launch & Film Screening “Perdagangan Sampah Plastik”

Aliansi Zero Waste Indonesia (AZWI) meluncurkan laporan hasil investigasi terkait praktik perdagangan sampah di Indonesia.",2019-06-26T10:00:42.000Z,negatif,Sampah
458,@duta_sanitasi,"Gamal: 56% sampah di Indonesia terkumpul di TPA dan sisanya tersebar dimana2, trmasuk di rumah klrga miskin #JamboreSanitasi @ditjenck",2014-06-18T04:37:45.000Z,negatif,Sampah
459,@kompascorner,"Permasalahan sampah di Indonesia memang merupakan permasalahan besar, dari mulai masalah sampah yg berserakan hingga pengelolaannya #HubInfo",2015-09-24T12:20:06.000Z,negatif,Pengelolaan Sampah
460,@sances19,"Dari. Kumpulan sampah di indonesia itu""@ALMOGAVERS_1899: Ada yg tau ini kotoran dari mana ? » ""@Robertus_Rudi: BANCI tuh!! visca banci""",2013-09-03T11:12:12.000Z,positif,Sampah
461,@TnNugroz,Sebenarnya semua sampah organik bisa ya... bukankah 60% sampah di indonesia itu sampah organik.. permasalahannya cuma org indo belum bisa memisahkan sampah organik dan anorganik,2019-01-26T23:31:57.000Z,negatif,Sampah
462,@saturnomeus,"Mau recycle sampah tapi pemilahan sampah di indonesia masih buruk & minim dampak.

Mau upcycling baju dengan thrifting sekarang dieksploitasi sampe harga baju second sama dengan baju baru.

Mau ngurangin emisi karbon industri daging tapi produk vegan mahalnya ga ngotak. 
Bingung",2021-08-29T08:03:36.000Z,negatif,Sampah
463,@dian_dethe,"Apresiasi yg bikin program ""Sampah Disiapkan Jadi Tenaga Listrik"" krn
sdh bnyak sampah di Indonesia brserakan @KementerianLHK #AYOPELUKPOHON",2017-09-25T01:18:42.000Z,negatif,Sampah
464,@hello_fika,banyak yang belum tahu kan? kalau ada pembangkit listrik tenaga sampah di Indonesia #HUT41BPPT #BPPTSolidSmartSpeed @BPPT_RI,2019-08-21T04:28:02.000Z,positif,Sampah
465,@yesradiocilacap,"Apa yang kamu tau tentang sampah plastik di Indonesia??
yuk simak perkembangan dari daur ulang sampah di Indonesia
#SalamSahabat",2019-08-08T10:58:36.000Z,negatif,Sampah
466,@FuziSeptian,"klo boleh jujur, televisi paling sampah di indonesia itu salah satu.a @SCTV_
@IndosiarID klo @netmediatama terbaik! #RIPBroadcasterRio2x",2016-08-09T09:17:20.000Z,positif,Sampah
467,@vaniasans,"#ecopreneurship #fact ""@Panyoo: Seserem itu akumulasi jumlah sampah di indonesia. Harusnya sampah bkn warisan anak cucu kita @BEMUI_GoGreen""",2014-04-26T04:05:49.000Z,positif,Sampah
468,@InfoSuperIndo,"Jadi, SIS tdk hanya berbelanja tp jg mengurangi sampah kantong plastik & berperan dlm edukasi pengelolahan sampah di Indonesia. #reusablebag",2014-05-22T06:18:01.000Z,negatif,Sampah
469,@NendraFauzi,"Jika pesawat dan kapal hilang saat melewati segitiga bermuda.mengapa kita tidak membuang sampah di sana ?

Kali aja sampah di Indonesia hilang wkwkw",2020-05-20T16:21:02.000Z,positif,Sampah
470,@GraloYopa,"Mari kita bersama pemerintah untuk mewujudkan target pengurangan sampah di indonesia
#JagaBumi #EarthDayForum2021",2021-04-22T07:20:38.000Z,negatif,Kebijakan Pemerintah
471,@imadfahri,3. Hanya menjadi sampah di Indonesia #UsutKasusMobile8,2016-02-06T07:05:08.000Z,positif,Sampah
472,@kacamata_org_in,"Kondisi sampah di Indonesia cukup memprihatinkan, terlebih di Jakarta. Kondisi sampah di Jakarta saat ini mencapai 6.700 ton per hari,#KOIN",2014-02-20T06:35:51.000Z,negatif,Sampah
473,@Bemkmipb_Hijau,"FYI nih greeners, jumlah produksi sampah di Indonesia rata-rata 2 L/orang/hari sedangkan untuk daerah Asia 350 gr/orang/hari #IPBeraniClean",2014-02-19T10:10:13.000Z,negatif,Sampah
474,@imajikataa,"Resolusi 2014--> ""@fakhriadrian: Seandainya.. Infrastruktur pengolahan sampah di Indonesia dimiliki oleh Indonesia sendiri.. #kormatpraswil""",2014-01-01T03:29:21.000Z,negatif,Sampah
475,@biofair14UAI,"Seminar dan Talkshow ini membahas tentang Fenomena Sampah di Indonesia, Green Production, dan...............",2014-04-20T13:25:22.000Z,negatif,Sampah
476,@butoable,"Untuk solusi sampah di Indonesia, kenapa pemerintah tidak membuangnya di gunung berapi yang aktif saja ya?",2021-02-26T10:01:48.000Z,negatif,Kebijakan Pemerintah
477,@gun_guuuuun,"Pantesan masalah sampah di Indonesia ga selese2, banjir ada terus, kesehatan ga terlalu dipikirin, kebanyakan lebih mikirin akhirat daripada mikirin keadaan Bumi. @sousa_jr",2019-11-11T13:05:33.000Z,positif,Sampah
478,@IM3OoredooBKL,Seperti yang dipaparkan oleh Kementerian Lingkungan Hidup dan Kehutanan bahwa tahun 2019 sampah di Indonesia mencapai 68 juta tons. Sedangkan sampah plastik diperkirakan mencapai 9.52 ton.,2019-08-16T05:33:30.000Z,negatif,Sampah
479,@fasya_amin,Wilburn sedih karena di sini tidak manusiawi sekali bagi tkg sampah di indonesia. Dia sedih dan kesal karena perilaku masyarakat & pemerinta,2014-07-29T00:56:45.000Z,negatif,Sampah
480,@greps007,"Kurang tegasnya pemerintah n habit masyarakat yg APATIS""@radioblast_: Sobat blaster punya opini tentang sampah di Indonesia? Apa sih yang",2014-02-12T14:48:35.000Z,negatif,Kebijakan Pemerintah
481,@anisanovy,"""@febymbt: sampah di Indonesia yg paling banyak selain sampah masyarakat ya pemberi harapan palsu pfffffft""",2013-11-27T14:33:30.000Z,positif,Sampah
482,@aida_yasifa,"2 hari sampah di indonesia setara dengan candi borobudur, Amazing! #TWGlobalRadio @YoungOnTop @884GlobalRadio",2015-04-15T13:53:23.000Z,positif,Sampah
483,@IkaaSitanggang,"Gila ni.. sampah di indonesia aja belum beres eh para CALEG dan anteg'nya nampah sampah lagi dengan spanduk dan semacamnya..
Kotor max Deh.",2014-04-03T01:19:18.000Z,negatif,Sampah
484,@Rusly_91,Tukang sampah dr inggris kaget melihat kehidupan tukang sampah di indonesia.,2014-07-29T00:49:08.000Z,positif,Sampah
485,@aameliass,"Tahun 2016 jumlah timbulan sampah di Indonesia mencapai 65.200.000 ton per tahun
dengan penduduk sebanyak 261.115.456 orang. Mengejutkan bukan? #JagaBumi #EarthDayForum2021",2021-04-22T07:02:04.000Z,positif,Sampah
486,@MitraNaAvakara,"KURANGI LIMBAH PLASTIK ANDA - Fakta: dari seluruh sampah di Indonesia, hanya 7% yang terdaur ulang (Kantor Berita Antara, Agt 2014)",2016-05-14T08:15:01.000Z,negatif,Sampah
487,@EHPalu,"""Hari Peduli Sampah"" a/ hari dimana tercatat sbg sejarah kelam pengelolaan sampah di Indonesia.",2014-02-21T05:59:30.000Z,negatif,Pengelolaan Sampah
488,@valdiadjie,"Buset RT @DrPengetahuan: Jumlah produksi sampah di Indonesia dalam sehari jika ditumpuk, sebanding dengan 250 piramida giza di mesir.",2013-09-30T11:35:49.000Z,negatif,Sampah
489,@bangkimo_id,sampah di indonesia itu makin banyak ya !!! KASIAN RAKYAT,2017-10-09T15:17:48.000Z,positif,Sampah
490,@twitberitadunia,Pengusaha Muda Turun Tangan Atasi Sampah di Indonesia: Beberapa warga sudah frustrasi dengan masalah… #Beritadunia,2016-03-18T10:52:19.000Z,negatif,Sampah
491,@ottoferdinand_s,“@putrijuniawan: Yuk follow @GreenSmileID Trus twit apapun tentang sampah di Indonesia dgn hastag #SAMPAHNYOLOT ! *Spread The News* :*”,2013-09-01T09:29:17.000Z,positif,Sampah
492,@sonsonice,RT @agungdisantoso: tukang sampah london said: semiris itukah kondisi tukang sampah di indonesia? #KompasTV,2014-07-29T02:34:35.000Z,positif,Sampah
493,@gumilanghidayat,"""@andreasharsono: Iwan Fals: Saya ingin 4 juta penonton bersihkan sampah. Di Indonesia masih banyak orang baik""",2014-04-03T14:57:39.000Z,positif,Sampah
494,@IDEAVOLUTIONERS,"Selain menangin total hadiah 5jt, kamu jg bs membantu memberikan saran u/ menanggulangi masalah sampah di Indonesia. #IDEAVOLUTIONIndomovies",2015-03-09T10:11:36.000Z,positif,Sampah
495,@nuruliu,Ternyata pengelolaan sampah di Indonesia mirip-mirip sama amerika yes. Sampah numpuk di TPU dan gak jelas pengelolaannya.,2017-01-26T19:50:21.000Z,negatif,Pengelolaan Sampah
496,@UGreen_ITB,"""Pengolahan sampah di Indonesia itu biasanya sentralisasi.""",2014-02-14T08:54:33.000Z,negatif,Sampah
497,@RadioIdolaSMG,"#Sosok Adi Saifullah Putra-Perintis Mall Sampah dari #Makassar, Sulawesi Selatan, ""Harapan kedepan mall sampah akan menjadi leader industri pengelolaan sampah di Indonesia.""",2018-05-02T00:03:29.000Z,negatif,Pengelolaan Sampah
498,@tedyginting,"Pemerintah mengalokasikan 650milyar tuk alokasi sampah di indonesia, pasti bakalan bengkak kalo kesadaran manusianya msh rendah tuk peduli.",2014-02-19T16:48:17.000Z,negatif,Sampah
